title,url,summary,last_updated,next_step,project
Project chat index and summary,https://claude.ai/chat/bf8e9e0c-d840-476d-a515-b5b28886f5a8,This session: producing a chat index CSV and project summary markdown from all project sessions.,2026-06-18,Review and use the outputs as a project planning tool.,are.na-toolkit
Code lint and cleanup,https://claude.ai/chat/9f5e8be7-d032-4fa1-bf69-f5f163820381,"Artist enrichment workflow: LOD sweeps, lod_checked flag, National Gallery PIDs, Met objects. Updated HANDOFF, LOG, WORKFLOW, and enrich.md to document the Met field and completed pilot.",2026-06-18,Continue artist enrichment: run LOD sweep on remaining unverified artists.,are.na-toolkit
File date prepend script,https://claude.ai/chat/29c45a66-572d-4147-a643-5f4fc9fcb2bc,"Created a shell script to prepend file creation dates to filenames, with Automator Quick Action setup instructions. Uses GetFileInfo; skips files already prefixed.",2026-06-18,Set up in Automator as a Finder Quick Action.,are.na-toolkit
Book extraction workflow,https://claude.ai/chat/bd58df74-6d09-4d2c-b61e-84159e360345,"Completed Tyler extraction: 50 exercises (tyler-001 to tyler-050) across 10 chapters and 8 themes. Catalogue updated to 272 exercises / 10 books / 87 artists. One artist file (Alex Kanevsky) verified with LOD data.",2026-06-18,"Prioritise Sickert artist file next; seven Tyler artists still need LOD verification (Sickert, Gwen John, Etty, Orpen, Ferguson, Benson, Procter).",are.na-toolkit
Exercise extraction next steps,https://claude.ai/chat/63b2d784-233e-4114-92f5-178e8bc8c1e6,"Created three verified artist pages: Warhol (Q5603), Oldenburg (Q156731), Lichtenstein (Q151679) — all with ULAN IDs, added to lod-lookup.yaml, linked to kaupelis-025.",2026-06-18,Continue artist page backlog; check which exercise cross-references still lack artist files.,are.na-toolkit
Project skill design discussion,https://claude.ai/chat/d24e0b4e-8f3c-4199-953f-dd20c73e9ad9,"Designed four teaching skill prompts (situation, adapt, diagnose, synthesise) and updated SKILL.md with Teaching prompts and Default behaviours sections. Diagnose prompt has taxonomy of common student difficulties built in.",2026-06-18,Test diagnose prompt against more student drawings to refine the symptom taxonomy.,are.na-toolkit
md-design-system CSS build,https://claude.ai/chat/a6fde83e-08e2-4dbe-9540-1dd51231922b,"Fixed six CSS themes (alvarodelara, fluxish, gardenernyc, criticalmedialab, handmadeweb, fragmentlv) where background colour was incorrectly pinned to white. All themes re-audited to WCAG AA. Build clean.",2026-06-18,Review updated themes in the style guide browser to confirm the background tints look right.,are.na-toolkit
MD design system briefing,https://claude.ai/chat/38d5e2c1-76fb-4265-ab5d-ad58756b92ea,"Wrote handoff.md with starting prompt for next session, pointing at step 5 (main.css). Token inventory and prototype referenced as source material.",2026-06-18,Begin step 5: compile main.css from token inventory and prototype.,are.na-toolkit
Design system theme tester,https://claude.ai/chat/a351ea48-6722-4971-80d4-c6dbe9f09cf9,"Fixed heading font mismatch in the theme tester: corrected Arial Black (900 weight) to Helvetica Neue at regular weight, matching ROM Condensed companion face for fallback.",2026-06-18,Verify all theme font fallbacks render correctly across the style guide pages.,are.na-toolkit
Kaupelis extraction next steps,https://claude.ai/chat/67c759a7-fc7d-47c0-b150-275bf783357c,"Completed Kaupelis Life Drawing Chapter 2: 9 exercises (woods-013 to woods-021) covering perspective pairs, centre lines, triangles, planes, and counterpoise. Catalogue now 222 exercises.",2026-06-18,"Scope Chapters 6 (Marks: Methods and Media) and 8 (Altered Images) before extracting — both are equipment-heavy.",are.na-toolkit
Kaupelis chapter extraction,https://claude.ai/chat/132838d8-2c2d-4977-a0b3-1a56a624940a,"Detailed analysis of Kaupelis Chapter 9 closing essay: themes of selective rejection, growth through resistance, Rauschenberg's Erased De Kooning as metaphor, Fromm quotation. No exercises to extract.",2026-06-18,No further extraction from Ch9; proceed to bibliography review if needed.,are.na-toolkit
Kaupelis chapter 7 extraction,https://claude.ai/chat/aa8faeb6-4a7f-48a5-b4b7-f9bdc60f12be,"Extracted Chapter 7: 8 exercises (kaupelis-039 to kaupelis-046), 12 artist files verified. Catalogue at 202 exercises / 9 books / 76 artists. Fixed over-quoted exercises; Chapters 8–9 remain.",2026-06-18,"Extract Kaupelis Chapters 8 and 9; create Tintoretto artist file if he recurs.",are.na-toolkit
Drawing biennial image ingest,https://claude.ai/chat/ad9e6990-68a0-481c-8228-1b3ffcb0b6ca,"Converted 314 markdown files for Drawing Biennial 2026 artworks: added YAML frontmatter (title, artist, year, source, medium, eagle_folder, eagle_item), image embeds, and metadata footers.",2026-06-18,Review sample markdown files in Obsidian to confirm frontmatter renders correctly.,are.na-toolkit
Claude Chrome access question,https://claude.ai/chat/c6438b57-809e-45c7-8a8e-20f02138be5e,Brief session running bash commands in the project context. Minimal content recorded.,2026-06-18,No specific next step recorded.,are.na-toolkit
Drawing Room biennial downloads,https://claude.ai/chat/f090dd0a-54e5-4fa2-9f09-f1ae6dc81f1f,"Attempted to scrape and download images from biennial.drawingroom.org.uk but blocked by organisation network policy. Documented the domains that need whitelisting.",2026-06-18,"Add biennial.drawingroom.org.uk and drawingcdn.azureedge.net to Admin > Capabilities > Network access allowed domains, then retry.",are.na-toolkit
Artist pages Eagle Links,https://claude.ai/chat/67803832-0c2b-44a4-b4e1-1be22f714e7b,"Fleshed out the Luca Cambiaso artist page with full biography, teaching notes, Eagle link, Wikidata/ULAN references, and cross-links to exercises kaupelis-025 and kaupelis-007.",2026-06-18,Verify specific Cambiaso museum holdings (Prado / Te Papa) if citing by title later.,are.na-toolkit
Artist database pages,https://claude.ai/chat/6fbdaed4-fd1b-4100-897c-609bea36b972,"Completed the ~76-name artist list: created Holder-Curtis and Godoy artist pages. Both marked unverified. Noted stale duplicate van-eeden-marcel.md for manual deletion.",2026-06-18,Delete duplicate van-eeden-marcel.md; run LOD verification pass on unverified artist files.,are.na-toolkit
Kaupelis extraction (Ch6),https://claude.ai/chat/db10e23e-0532-4fbf-8617-56a41f32b0da,"Extracted Kaupelis Chapter 6 (Marks: Methods and Media): 5 exercises (kaupelis-034 to kaupelis-038), 9 new artist files. Fixed 3 over-quoted exercises and a page citation error. Catalogue at 194 exercises.",2026-06-18,Proceed to Chapter 7.,are.na-toolkit
Kaupelis extraction (Ch5),https://claude.ai/chat/5f38307b-76e1-4c4f-8b3e-552c37202e09,"Extracted Kaupelis Chapter 5 (Photographs, Grids, Projected Images): 6 exercises (kaupelis-028 to kaupelis-033), 6 new artist files (Close, Rivers, Dürer, Puvis de Chavannes, Krasner, Manet). Catalogue at 189 exercises.",2026-06-18,Proceed to Chapter 6.,are.na-toolkit
Kaupelis extraction or bulk convert,https://claude.ai/chat/3743cee1-05ca-461d-af0c-38e742a9c251,"Housekeeping session: archived older HANDOFF.md completed entries into LOG.md. Sessions 9–17 moved to archive section. Restructured for clarity.",2026-06-18,No content work needed; continue extraction from current chapter.,are.na-toolkit
Handoff next tasks,https://claude.ai/chat/32ef6f0b-3114-4707-b6ed-fea52259302c,"Kaupelis Chapter 4 first batch: 6 exercises (kaupelis-014 to kaupelis-019), 3 artist files (Celmins, Raphael, Alf). Bulk PDF conversion: 22/58 files done. Catalogue at 175 exercises / 9 books / 43 artists.",2026-06-18,"Finish Chapter 4 remaining sections (Clouds, Water, Picasso/Waldman); resume bulk PDF conversion locally.",are.na-toolkit
Book extraction workflow setup,https://claude.ai/chat/29ac9304-8d48-4d98-b4cc-435ab3548510,"Hit a git index.lock blocking commits. Diagnosed as stale lock from sandbox filesystem restriction. Provided manual Terminal command to remove it.",2026-06-18,Run: rm \"/Users/kimplowright/Development/dt-knowledge-base/.git/index.lock\" then retry the commit.,are.na-toolkit
Next book extraction planning,https://claude.ai/chat/1276ff77-a8ab-405d-bea6-c316e8320899,"Completed Emily Ball extraction: 14 exercise files, 2 artist files, catalogue at 156 exercises / 8 books / 34 artists. Fixed ball-emily filename convention across all references.",2026-06-18,Re-check Emily Ball's Wikidata/ULAN identifiers (none found this session).,are.na-toolkit
Linking pass review,https://claude.ai/chat/366296de-f592-4be3-9953-aa7f6046077b,"Pilot phase complete (6 books, 142 exercises, 7 books processed). Drafted next-session prompt for choosing the next book, with scoping questions. Saved to HANDOFF.md.",2026-06-18,"Choose next book from not-started list in EXTRACTION-LOG.md; consider Raynes, Bammes, or Aristides.",are.na-toolkit
Exercise descriptions draft,https://claude.ai/chat/a54acc86-c991-4a42-99c2-e752a8d76406,"Added one-sentence description fields to all exercises/artists/sources. Fixed paragraph hard breaks across 133 files. Updated SCHEMA with description field conventions. Confirmed DRY principle: rules in SCHEMA, not enrich.md.",2026-06-18,"Run linking pass in a fresh session using skill/prompts/link.md; batch proposals before changing files.",are.na-toolkit
Drawing knowledge base work,https://claude.ai/chat/a0214c07-7f2f-4e93-90d8-be90eb00b055,"Completed ILOs and full 9-section template for all 142 exercises. Checked lint §2/§3 — both already fixed. Only §1 (10 superseded files) still open pending Kim's go-ahead for deletion.",2026-06-18,Approve deletion of 10 superseded files flagged in lint §1.,are.na-toolkit
Mattesi Chapter 3 extraction,https://claude.ai/chat/40f1f797-27b7-4bab-b79b-7fa55b0b761d,"Updated HANDOFF, LOG, SCHEMA, WORKFLOW after Mattesi Ch3. Added Bases homepage (exercises.base, sources.base) to Index.md. Confirmed catalogue at 7 books.",2026-06-18,Verify Bases views render correctly in Obsidian; optionally create artists Bases view.,are.na-toolkit
